,CRASH_NUMB,CRASH_DATE,HOUR,DAY_OF_WEEK,MONTH,IS_WEEKEND,CRASH_SEVERITY_DESCR,IS_SEVERE,NUMB_VEHC,NUMB_NONFATAL_INJR,NUMB_FATAL_INJR,WEATH_COND_DESCR,WEATHER_SIMPLE,ROAD_SURF_COND_DESCR,ROAD_SIMPLE,AMBNT_LIGHT_DESCR,LIGHTING_SIMPLE,MANR_COLL_DESCR,SPEED_LIMIT,RDWY_JNCT_TYPE_DESCR,TRAF_CNTRL_DEVC_TYPE_DESCR,LAT,LON
72946,5563916,2025-08-17 11:51:00+00:00,11,Sunday,August,1,Property damage only (none injured),0,3,0,0,Clear,Clear,Dry,Dry,Daylight,Daylight,Rear-end,,Not at junction,No controls,42.36829994,-71.06226937
72956,5563906,2025-08-20 23:50:00+00:00,23,Wednesday,August,0,Property damage only (none injured),0,2,0,0,Rain,Rain,Wet,Wet,Dark - lighted roadway,Dark - Lighted,Rear-end,,Not at junction,No controls,42.28337944,-71.08039434
72959,5563903,2025-08-21 02:48:00+00:00,2,Thursday,August,0,Property damage only (none injured),0,1,0,0,Clear,Clear,Wet,Wet,Dark - lighted roadway,Dark - Lighted,Single vehicle crash,25.0,Not at junction,No controls,42.28233616,-71.09963182
72974,5563888,2025-08-01 05:46:00+00:00,5,Friday,August,0,Non-fatal injury,1,2,1,0,Clear/Clear,Clear,Dry,Dry,Dark - lighted roadway,Dark - Lighted,Rear-end,55.0,Not at junction,No controls,42.35611722,-71.05136801
73053,5563808,2025-08-17 22:34:00+00:00,22,Sunday,August,1,Non-fatal injury,1,2,4,0,Cloudy,Cloudy,Dry,Dry,Dark - lighted roadway,Dark - Lighted,Head-on,25.0,Not at junction,No controls,42.30705183,-71.11923286
73060,5563801,2025-08-17 18:45:00+00:00,18,Sunday,August,1,Property damage only (none injured),0,3,0,0,Cloudy,Cloudy,Dry,Dry,Daylight,Daylight,Rear-end,,Traffic circle,Yield signs,42.30863618,-71.12202315
73064,5563797,2025-08-18 18:41:00+00:00,18,Monday,August,0,Property damage only (none injured),0,2,0,0,Clear,Clear,Dry,Dry,Daylight,Daylight,"Sideswipe, same direction",,Traffic circle,Yield signs,42.29670598,-71.14527401
73097,5563764,2025-08-20 16:09:00+00:00,16,Wednesday,August,0,Property damage only (none injured),0,2,0,0,Rain/Cloudy,Rain,Wet,Wet,Daylight,Daylight,Front to Rear,,Not at junction,No controls,42.3013481,-71.08167352
73122,5563739,2025-08-20 15:19:00+00:00,15,Wednesday,August,0,Non-fatal injury,1,3,2,0,Rain,Rain,Wet,Wet,Daylight,Daylight,Rear-end,25.0,Not at junction,No controls,42.29511586,-71.08777544
73128,5564638,2025-08-22 13:28:00+00:00,13,Friday,August,0,Non-fatal injury,1,2,1,0,Clear,Clear,Dry,Dry,Daylight,Daylight,Angle,25.0,Four-way intersection,Traffic control signal,42.34843846,-71.13771634
73140,5564626,2025-08-22 14:41:00+00:00,14,Friday,August,0,Non-fatal injury,1,2,1,0,Clear,Clear,Dry,Dry,Daylight,Daylight,Unknown,,Four-way intersection,Traffic control signal,42.28581873,-71.10996045
73143,5564623,2025-07-25 07:51:00+00:00,7,Friday,July,0,Property damage only (none injured),0,2,0,0,Clear/Clear,Clear,Dry,Dry,Daylight,Daylight,"Sideswipe, same direction",55.0,Not at junction,No controls,42.31683629,-71.05123985
73144,5564622,2025-08-10 12:36:00+00:00,12,Sunday,August,1,Property damage only (none injured),0,6,0,0,Clear,Clear,Dry,Dry,Daylight,Daylight,"Sideswipe, same direction",55.0,Not at junction,No controls,42.35707533,-71.05143558
73258,5564507,2025-08-19 18:19:00+00:00,18,Tuesday,August,0,Property damage only (none injured),0,2,0,0,Clear,Clear,Dry,Dry,Daylight,Daylight,"Sideswipe, same direction",25.0,Not at junction,No controls,42.36534416,-71.05110507
73259,5564506,2025-08-22 01:23:00+00:00,1,Friday,August,0,Property damage only (none injured),0,2,0,0,Clear,Clear,Dry,Dry,Dark - lighted roadway,Dark - Lighted,Angle,,T-intersection,No controls,42.2695864,-71.11066534
73290,5564475,2025-08-22 00:41:00+00:00,0,Friday,August,0,Non-fatal injury,1,1,1,0,Clear,Clear,Dry,Dry,Dark - lighted roadway,Dark - Lighted,Single vehicle crash,,Not reported,No controls,42.34755985,-71.08693352
73293,5564472,2025-08-08 14:18:00+00:00,14,Friday,August,0,Property damage only (none injured),0,2,0,0,Clear/Clear,Clear,Dry,Dry,Daylight,Daylight,Angle,40.0,Four-way intersection,Traffic control signal,42.27882574,-71.06950545
73294,5564471,2025-08-10 12:56:00+00:00,12,Sunday,August,1,Property damage only (none injured),0,3,0,0,Clear/Clear,Clear,Dry,Dry,Daylight,Daylight,Rear-end,55.0,Not at junction,No controls,42.32414669,-71.05560549
73297,5564468,2025-08-06 15:38:00+00:00,15,Wednesday,August,0,Property damage only (none injured),0,2,0,0,Clear/Clear,Clear,Dry,Dry,Daylight,Daylight,Angle,30.0,T-intersection,Traffic control signal,42.28607784,-71.04331461
73313,5564452,2025-08-12 12:36:00+00:00,12,Tuesday,August,0,Non-fatal injury,1,3,1,0,Clear/Clear,Clear,Dry,Dry,Daylight,Daylight,Rear-end,55.0,Not at junction,No controls,42.37988285,-71.05204768
73333,5564432,2025-07-30 07:26:00+00:00,7,Wednesday,July,0,Non-fatal injury,1,2,1,0,Clear/Clear,Clear,Dry,Dry,Daylight,Daylight,"Sideswipe, same direction",30.0,Four-way intersection,No controls,42.28278468,-71.05465454
73338,5564427,2025-08-02 10:28:00+00:00,10,Saturday,August,1,Non-fatal injury,1,2,1,0,Clear/Clear,Clear,Dry,Dry,Daylight,Daylight,"Sideswipe, same direction",30.0,Not at junction,No controls,42.32266745,-71.04934564
